N,single_thread,multi_thread
32,0.000464,0.000373
64,0.002034,0.000407
96,0.002914,0.000936
128,0.007185,0.001818
160,0.011854,0.003413
192,0.021225,0.005829
224,0.035139,0.010012
256,0.054881,0.015268
288,0.073019,0.019853
320,0.100533,0.028208
352,0.132556,0.038217
384,0.174745,0.048126
416,0.216112,0.060647
448,0.271329,0.075102
480,0.353411,0.097678
512,0.536920,0.134591
544,0.548352,0.182574
576,0.611459,0.160670
608,0.703314,0.186817
640,0.949502,0.246285
672,1.031725,0.253211
704,1.078548,0.290397
736,1.222783,0.334331
768,1.474989,0.405545
800,1.573684,0.425685
832,1.779617,0.484944
864,1.980557,0.537266
896,2.264487,0.625743
928,2.464598,0.661987
960,2.707572,0.739380
992,3.058144,0.916867
1024,3.973439,1.033251
