N,single,pthread,openmp
32,0.000313,0.000340,0.003299
64,0.001168,0.001225,0.000236
96,0.003631,0.003654,0.001551
128,0.009098,0.007976,0.001973
160,0.015977,0.003747,0.003274
192,0.025806,0.010990,0.005645
224,0.038670,0.018369,0.009002
256,0.060160,0.014902,0.013898
288,0.076850,0.019734,0.018979
320,0.105005,0.027051,0.026046
352,0.135394,0.037168,0.034585
384,0.180309,0.047295,0.045461
416,0.235072,0.058783,0.057133
448,0.278006,0.075475,0.071925
480,0.338344,0.091524,0.088912
512,0.468064,0.127456,0.115266
544,0.489942,0.136288,0.129574
576,0.586360,0.159738,0.153804
608,0.684697,0.186091,0.180568
640,0.814230,0.221574,0.212196
672,0.919583,0.249789,0.243431
704,1.066980,0.294868,0.280252
736,1.205828,0.343792,0.319504
768,1.480039,0.402458,0.370725
800,1.548641,0.425311,0.414149
832,1.748357,0.479740,0.464277
864,1.950671,0.530488,0.525825
896,2.216566,0.622340,0.620382
928,2.634195,0.688646,0.741486
960,2.775800,0.739612,0.742244
992,3.052660,0.807923,0.811112
1024,3.990788,1.017640,0.941204
